copy,copy,copy,,,,,Link,Pipette,Model,Result,Reasons,Warnings,Scale,Robot,test_version,Min CV,Min %D,Avg. Min Water Remaining (uL),tips,Asp sample Range (uL),Disp sample Range (uL),Max CV,Max %D,Avg. Max Water Remaining,tips,Asp sample Range (uL),Disp sample Range (uL),Avg Stem Temp (C),Avg Stem Hum (%),Avg Air Temp (C),Avg Air Hum (%),Mid1 CV,Mid1 %D,Avg. Mid1 Water Remaining (uL),tips,Mid2 CV,Mid2 %D,Avg. Mid1 Water Remaining (uL),tips,measure-init-blank-ul-channel_1-trial-1-grams-average,test_time_utc,pipette_mount,test_operator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701.6,measure-aspirate-1.0-ul-channel_1-trial-7-samples-duration,8.756729364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-celsius-air,2870.4,22.1,measure,dispense,50,ul,channel_1,trial,7,celsius,air,,,,,,,,,,,,,,,,
1701.7,measure-aspirate-1.0-ul-channel_1-trial-7-samples-count,4.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-humidity-air,2870.5,4.59E+01,measure,dispense,50,ul,channel_1,trial,7,humidity,air,,,,,,,,,,,,,,,,
1726.8,measure-dispense-1.0-ul-channel_1-trial-7-celsius-pipette,2.62E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-pascals-air,2870.6,1.00E+03,measure,dispense,50,ul,channel_1,trial,7,pascals,air,,,,,,,,,,,,,,,,
1726.9,measure-dispense-1.0-ul-channel_1-trial-7-humidity-pipette,4.14E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-celsius-liquid,2870.7,2.50E+01,measure,dispense,50,ul,channel_1,trial,7,celsius,liquid,,,,,,,,,,,,,,,,
1727,measure-dispense-1.0-ul-channel_1-trial-7-celsius-air,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-grams-average,2870.7,16.50656852,measure,dispense,50,ul,channel_1,trial,7,grams,average,,,,,,,,,,,,,,,,
1727,measure-dispense-1.0-ul-channel_1-trial-7-humidity-air,4.64E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-grams-cv,2870.8,2.69E-07,measure,dispense,50,ul,channel_1,trial,7,grams,cv,,,,,,,,,,,,,,,,
1727.1,measure-dispense-1.0-ul-channel_1-trial-7-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-grams-min,2870.9,1.65E+01,measure,dispense,50,ul,channel_1,trial,7,grams,min,,,,,,,,,,,,,,,,
1727.2,measure-dispense-1.0-ul-channel_1-trial-7-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-grams-max,2870.9,16.506576,measure,dispense,50,ul,channel_1,trial,7,grams,max,,,,,,,,,,,,,,,,
1727.2,measure-dispense-1.0-ul-channel_1-trial-7-grams-average,16.50878967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-samples-start-time,2871,1782850772,measure,dispense,50,ul,channel_1,trial,7,samples,start,time,,,,,,,,,,,,,,,
1727.3,measure-dispense-1.0-ul-channel_1-trial-7-grams-cv,4.56E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-samples-duration,2871.1,5.762829781,measure,dispense,50,ul,channel_1,trial,7,samples,duration,,,,,,,,,,,,,,,,
1727.4,measure-dispense-1.0-ul-channel_1-trial-7-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-7-samples-count,2871.2,23,measure,dispense,50,ul,channel_1,trial,7,samples,count,,,,,,,,,,,,,,,,
1727.4,measure-dispense-1.0-ul-channel_1-trial-7-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-celsius-pipette,2930.2,2.70E+01,measure,init,50,ul,channel_1,trial,8,celsius,pipette,,,,,,,,,,,,,,,,
1727.5,measure-dispense-1.0-ul-channel_1-trial-7-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-humidity-pipette,2930.3,3.90E+01,measure,init,50,ul,channel_1,trial,8,humidity,pipette,,,,,,,,,,,,,,,,
1727.6,measure-dispense-1.0-ul-channel_1-trial-7-samples-duration,9.798450947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-celsius-air,2930.4,22.1,measure,init,50,ul,channel_1,trial,8,celsius,air,,,,,,,,,,,,,,,,
1727.6,measure-dispense-1.0-ul-channel_1-trial-7-samples-count,4.80E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-humidity-air,2930.5,4.61E+01,measure,init,50,ul,channel_1,trial,8,humidity,air,,,,,,,,,,,,,,,,
1786.7,measure-init-1.0-ul-channel_1-trial-8-celsius-pipette,2.62E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-pascals-air,2930.5,1.00E+03,measure,init,50,ul,channel_1,trial,8,pascals,air,,,,,,,,,,,,,,,,
1786.8,measure-init-1.0-ul-channel_1-trial-8-humidity-pipette,4.13E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-celsius-liquid,2930.6,2.50E+01,measure,init,50,ul,channel_1,trial,8,celsius,liquid,,,,,,,,,,,,,,,,
1786.8,measure-init-1.0-ul-channel_1-trial-8-celsius-air,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-grams-average,2930.7,16.50649524,measure,init,50,ul,channel_1,trial,8,grams,average,,,,,,,,,,,,,,,,
1786.9,measure-init-1.0-ul-channel_1-trial-8-humidity-air,4.62E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-grams-cv,2930.8,9.12E-08,measure,init,50,ul,channel_1,trial,8,grams,cv,,,,,,,,,,,,,,,,
1787,measure-init-1.0-ul-channel_1-trial-8-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-grams-min,2930.8,1.65E+01,measure,init,50,ul,channel_1,trial,8,grams,min,,,,,,,,,,,,,,,,
1787,measure-init-1.0-ul-channel_1-trial-8-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-grams-max,2930.9,16.506498,measure,init,50,ul,channel_1,trial,8,grams,max,,,,,,,,,,,,,,,,
1787.1,measure-init-1.0-ul-channel_1-trial-8-grams-average,16.50872612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-samples-start-time,2931,1782850828,measure,init,50,ul,channel_1,trial,8,samples,start,time,,,,,,,,,,,,,,,
1787.2,measure-init-1.0-ul-channel_1-trial-8-grams-cv,1.69E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-samples-duration,2931.1,9.781279564,measure,init,50,ul,channel_1,trial,8,samples,duration,,,,,,,,,,,,,,,,
1787.2,measure-init-1.0-ul-channel_1-trial-8-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-8-samples-count,2931.1,50,measure,init,50,ul,channel_1,trial,8,samples,count,,,,,,,,,,,,,,,,
1787.3,measure-init-1.0-ul-channel_1-trial-8-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-celsius-pipette,2957.9,27.01342773,measure,aspirate,50,ul,channel_1,trial,8,celsius,pipette,,,,,,,,,,,,,,,,
1787.4,measure-init-1.0-ul-channel_1-trial-8-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-humidity-pipette,2958,3.90E+01,measure,aspirate,50,ul,channel_1,trial,8,humidity,pipette,,,,,,,,,,,,,,,,
1787.4,measure-init-1.0-ul-channel_1-trial-8-samples-duration,9.796683788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-celsius-air,2958,22.1,measure,aspirate,50,ul,channel_1,trial,8,celsius,air,,,,,,,,,,,,,,,,
1787.5,measure-init-1.0-ul-channel_1-trial-8-samples-count,5.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-humidity-air,2958.1,46.1,measure,aspirate,50,ul,channel_1,trial,8,humidity,air,,,,,,,,,,,,,,,,
1812.6,measure-aspirate-1.0-ul-channel_1-trial-8-celsius-pipette,2.63E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-pascals-air,2958.2,1.00E+03,measure,aspirate,50,ul,channel_1,trial,8,pascals,air,,,,,,,,,,,,,,,,
1812.7,measure-aspirate-1.0-ul-channel_1-trial-8-humidity-pipette,4.12E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-celsius-liquid,2958.3,2.50E+01,measure,aspirate,50,ul,channel_1,trial,8,celsius,liquid,,,,,,,,,,,,,,,,
1812.7,measure-aspirate-1.0-ul-channel_1-trial-8-celsius-air,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-grams-average,2958.3,16.45623517,measure,aspirate,50,ul,channel_1,trial,8,grams,average,,,,,,,,,,,,,,,,
1812.8,measure-aspirate-1.0-ul-channel_1-trial-8-humidity-air,4.62E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-grams-cv,2958.4,7.02E-08,measure,aspirate,50,ul,channel_1,trial,8,grams,cv,,,,,,,,,,,,,,,,
1812.9,measure-aspirate-1.0-ul-channel_1-trial-8-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-grams-min,2958.5,1.65E+01,measure,aspirate,50,ul,channel_1,trial,8,grams,min,,,,,,,,,,,,,,,,
1812.9,measure-aspirate-1.0-ul-channel_1-trial-8-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-grams-max,2958.6,16.456238,measure,aspirate,50,ul,channel_1,trial,8,grams,max,,,,,,,,,,,,,,,,
1813,measure-aspirate-1.0-ul-channel_1-trial-8-grams-average,16.50763112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-samples-start-time,2958.6,1782850856,measure,aspirate,50,ul,channel_1,trial,8,samples,start,time,,,,,,,,,,,,,,,
1813.1,measure-aspirate-1.0-ul-channel_1-trial-8-grams-cv,1.01E-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-samples-duration,2958.7,9.395626783,measure,aspirate,50,ul,channel_1,trial,8,samples,duration,,,,,,,,,,,,,,,,
1813.1,measure-aspirate-1.0-ul-channel_1-trial-8-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-8-samples-count,2958.8,48,measure,aspirate,50,ul,channel_1,trial,8,samples,count,,,,,,,,,,,,,,,,
1813.2,measure-aspirate-1.0-ul-channel_1-trial-8-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-celsius-pipette,2984.6,27.05615234,measure,dispense,50,ul,channel_1,trial,8,celsius,pipette,,,,,,,,,,,,,,,,
1813.2,measure-aspirate-1.0-ul-channel_1-trial-8-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-humidity-pipette,2984.7,3.89E+01,measure,dispense,50,ul,channel_1,trial,8,humidity,pipette,,,,,,,,,,,,,,,,
1813.3,measure-aspirate-1.0-ul-channel_1-trial-8-samples-duration,9.796940088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-celsius-air,2984.8,22.1,measure,dispense,50,ul,channel_1,trial,8,celsius,air,,,,,,,,,,,,,,,,
1813.4,measure-aspirate-1.0-ul-channel_1-trial-8-samples-count,5.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-humidity-air,2984.8,46.1,measure,dispense,50,ul,channel_1,trial,8,humidity,air,,,,,,,,,,,,,,,,
1838.6,measure-dispense-1.0-ul-channel_1-trial-8-celsius-pipette,2.63E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-pascals-air,2984.9,1.00E+03,measure,dispense,50,ul,channel_1,trial,8,pascals,air,,,,,,,,,,,,,,,,
1838.6,measure-dispense-1.0-ul-channel_1-trial-8-humidity-pipette,4.11E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-celsius-liquid,2985,2.50E+01,measure,dispense,50,ul,channel_1,trial,8,celsius,liquid,,,,,,,,,,,,,,,,
1838.7,measure-dispense-1.0-ul-channel_1-trial-8-celsius-air,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-grams-average,2985,16.50626393,measure,dispense,50,ul,channel_1,trial,8,grams,average,,,,,,,,,,,,,,,,
1838.8,measure-dispense-1.0-ul-channel_1-trial-8-humidity-air,4.62E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-grams-cv,2985.1,2.50E-07,measure,dispense,50,ul,channel_1,trial,8,grams,cv,,,,,,,,,,,,,,,,
1838.8,measure-dispense-1.0-ul-channel_1-trial-8-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-grams-min,2985.2,1.65E+01,measure,dispense,50,ul,channel_1,trial,8,grams,min,,,,,,,,,,,,,,,,
1838.9,measure-dispense-1.0-ul-channel_1-trial-8-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-grams-max,2985.3,16.506272,measure,dispense,50,ul,channel_1,trial,8,grams,max,,,,,,,,,,,,,,,,
1839,measure-dispense-1.0-ul-channel_1-trial-8-grams-average,16.50864364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-samples-start-time,2985.3,1782850886,measure,dispense,50,ul,channel_1,trial,8,samples,start,time,,,,,,,,,,,,,,,
1839,measure-dispense-1.0-ul-channel_1-trial-8-grams-cv,7.62E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-samples-duration,2985.4,6.579157591,measure,dispense,50,ul,channel_1,trial,8,samples,duration,,,,,,,,,,,,,,,,
1839.1,measure-dispense-1.0-ul-channel_1-trial-8-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-dispense-50.0-ul-channel_1-trial-8-samples-count,2985.5,27,measure,dispense,50,ul,channel_1,trial,8,samples,count,,,,,,,,,,,,,,,,
1839.2,measure-dispense-1.0-ul-channel_1-trial-8-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-celsius-pipette,3044.8,27.07751465,measure,init,50,ul,channel_1,trial,9,celsius,pipette,,,,,,,,,,,,,,,,
1839.2,measure-dispense-1.0-ul-channel_1-trial-8-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-humidity-pipette,3044.9,3.89E+01,measure,init,50,ul,channel_1,trial,9,humidity,pipette,,,,,,,,,,,,,,,,
1839.3,measure-dispense-1.0-ul-channel_1-trial-8-samples-duration,9.813026905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-celsius-air,3045,22.1,measure,init,50,ul,channel_1,trial,9,celsius,air,,,,,,,,,,,,,,,,
1839.4,measure-dispense-1.0-ul-channel_1-trial-8-samples-count,5.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-humidity-air,3045,46.1,measure,init,50,ul,channel_1,trial,9,humidity,air,,,,,,,,,,,,,,,,
1898.7,measure-init-1.0-ul-channel_1-trial-9-celsius-pipette,2.63E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-pascals-air,3045.1,1.00E+03,measure,init,50,ul,channel_1,trial,9,pascals,air,,,,,,,,,,,,,,,,
1898.8,measure-init-1.0-ul-channel_1-trial-9-humidity-pipette,4.10E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-celsius-liquid,3045.2,2.50E+01,measure,init,50,ul,channel_1,trial,9,celsius,liquid,,,,,,,,,,,,,,,,
1898.9,measure-init-1.0-ul-channel_1-trial-9-celsius-air,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-grams-average,3045.3,16.50619696,measure,init,50,ul,channel_1,trial,9,grams,average,,,,,,,,,,,,,,,,
1898.9,measure-init-1.0-ul-channel_1-trial-9-humidity-air,4.62E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-grams-cv,3045.3,7.90E-08,measure,init,50,ul,channel_1,trial,9,grams,cv,,,,,,,,,,,,,,,,
1899,measure-init-1.0-ul-channel_1-trial-9-pascals-air,1.00E+03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-grams-min,3045.4,1.65E+01,measure,init,50,ul,channel_1,trial,9,grams,min,,,,,,,,,,,,,,,,
1899.1,measure-init-1.0-ul-channel_1-trial-9-celsius-liquid,2.50E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-grams-max,3045.5,16.506198,measure,init,50,ul,channel_1,trial,9,grams,max,,,,,,,,,,,,,,,,
1899.1,measure-init-1.0-ul-channel_1-trial-9-grams-average,16.50857692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-samples-start-time,3045.6,1782850943,measure,init,50,ul,channel_1,trial,9,samples,start,time,,,,,,,,,,,,,,,
1899.2,measure-init-1.0-ul-channel_1-trial-9-grams-cv,8.19E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-samples-duration,3045.6,9.828738689,measure,init,50,ul,channel_1,trial,9,samples,duration,,,,,,,,,,,,,,,,
1899.3,measure-init-1.0-ul-channel_1-trial-9-grams-min,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-init-50.0-ul-channel_1-trial-9-samples-count,3045.7,48,measure,init,50,ul,channel_1,trial,9,samples,count,,,,,,,,,,,,,,,,
1899.3,measure-init-1.0-ul-channel_1-trial-9-grams-max,1.65E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-9-celsius-pipette,3072.5,27.07751465,measure,aspirate,50,ul,channel_1,trial,9,celsius,pipette,,,,,,,,,,,,,,,,
1899.4,measure-init-1.0-ul-channel_1-trial-9-samples-start-time,1.78E+09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-9-humidity-pipette,3072.5,3.88E+01,measure,aspirate,50,ul,channel_1,trial,9,humidity,pipette,,,,,,,,,,,,,,,,
1899.5,measure-init-1.0-ul-channel_1-trial-9-samples-duration,9.812213659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-9-celsius-air,3072.6,22.2,measure,aspirate,50,ul,channel_1,trial,9,celsius,air,,,,,,,,,,,,,,,,
1899.5,measure-init-1.0-ul-channel_1-trial-9-samples-count,5.00E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-9-humidity-air,3072.7,46,measure,aspirate,50,ul,channel_1,trial,9,humidity,air,,,,,,,,,,,,,,,,
1924.7,measure-aspirate-1.0-ul-channel_1-trial-9-celsius-pipette,2.64E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-9-pascals-air,3072.8,1.00E+03,measure,aspirate,50,ul,channel_1,trial,9,pascals,air,,,,,,,,,,,,,,,,
1924.7,measure-aspirate-1.0-ul-channel_1-trial-9-humidity-pipette,4.09E+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-9-celsius-liquid,3072.8,2.50E+01,measure,aspirate,50,ul,channel_1,trial,9,celsius,liquid,,,,,,,,,,,,,,,,
1924.8,measure-aspirate-1.0-ul-channel_1-trial-9-celsius-air,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,measure-aspirate-50.0-ul-channel_1-trial-9-grams-average,3072.9,16.45593,measure,aspirate,50,ul,channel_1,trial,9,grams,average,,,,,,,,,,,,,,,,
